,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
1367,Music Theory: from Absolute Beginner to Expert: The Ultimate Step-by-Step Guide to Understanding and Learning Music Theory Effortlessly,Nicolas Carter,4.4,473,233,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
1368,Splitting: Protecting Yourself While Divorcing Someone with Borderline or Narcissistic Personality Disorder,Bill Eddy,4.6,494,820,Splitting: Protecting Yourself While Divorcing Someone with Borderline or Narcissistic Personality Disorder - No description available.,5,20,['Divorce']
1369,"The Epigenetics Revolution: How Modern Biology Is Rewriting Our Understanding of Genetics, Disease and Inheritance",Nessa Carey,4.5,504,645,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1370,The Blue Umbrella,Ruskin Bond,4.5,1924,233,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
1371,Jeeves in the Offing,Ian Carmichael,4.6,63,467,"Jeeves is on holiday in Herne Bay, and while he's away the world caves in on Bertie Wooster. For a start, he's astonished to read in The Times of his engagement to the mercurial Bobbie Wickham. Then at Brinkley Court, his Aunt Dahlia's establishment, he finds his awful former head master in attendance ready to award the prizes at Market Snodsbury Grammar School. And finally the Brinkley butler turns out for reasons of his own to be Bertie's nemesis in disguise, the brain surgeon Sir Roderick Glossop.",4,48,"['Humorous Fiction', 'Classic Literature', 'Humour']"
1372,The Wisdom of Your Cells: How Your Beliefs Control Your Biology,Bruce H. Lipton Ph.D.,4.6,43,1875,The Wisdom of Your Cells: How Your Beliefs Control Your Biology - No description available.,10,10,['Biology']
1373,The Ascent of Money: A Financial History of the World,Niall Ferguson,4.4,567,615,The Ascent of Money: A Financial History of the World - No description available.,5,20,['History']
1374,"The Spy Chronicles: RAW, ISI and the Illusion of Peace",A.S Dulat,3.9,275,668,"Sometime in 2016, a series of dialogues took place which set out to find a meeting ground, even if only an illusion, between A.S. Dulat and Asad Durrani. One was a former chief of RAW, India's external intelligence agency, the other of ISI, its Pakistani counterpart. As they could not meet in their home countries, the conversations, guided by journalist Aditya Sinha, took place in cities like Istanbul, Bangkok and Kathmandu.",8,33,"['Political Science', 'Politics', 'Textbooks & Study Guides']"
1376,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,4.7,1038,888,"Penguin presents the audiobook edition of The Shock Doctrine by Naomi Klein, read by Katherine Fenton.",22,17,"['Economic History', 'Economic Theory', 'Free Enterprise']"
1377,The Character of Physical Law,Richard P. Feynman,4.6,91,702,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1378,"Creating Character Arcs: The Masterful Author's Guide to Uniting Story Structure, Plot, and Character Development",K.M. Weiland,4.6,698,668,Powerful character arcs create powerful stories.,5,20,"['Power Resource Engineering', 'Fiction Short Stories', 'Short Stories']"
1379,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,4.7,1308,1005,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
1380,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,4.7,2584,615,"Random House presents the audiobook edition of Braving the Wilderness, written and read by Brené Brown.",4,12,"['Psychology', 'Society & Culture', 'Personal Development & Self-Help']"
1382,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel Levitin,4.3,581,1025,The Organized Mind: Thinking Straight in the Age of Information Overload - No description available.,16,9,"['Memory Improvement', 'Leadership', 'Earth Sciences Books']"
1383,Entrepreneur 5 P.M. to 9 A.M.: Launching a Profitable Start-Up Without Quitting Your Job,Kanth Miriyala,4,125,501,You have a job and an idea for a business. What do you do then?,3,1,"['Small Businesses', 'Gardening & Landscape Design', 'Business Management']"
1384,Kashmirnama (Hindi Edition),Ashok Kumar Pandey,4.5,173,1171,Ashok Kumar Pandey is a well-known Hindi poet and writer. His recent book Kashmirnama has been praised by reputed historians as well as general audiences.,21,20,"['Indian History', 'Indian History', 'Asian History']"
1385,The Power is Within You,Louise L. Hay,4.7,739,703,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",7,10,"['New Thought Spirituality', 'Alternative & Complementary Medicine', 'Personal Success']"
1386,A Room of One's Own: Penguin Classics,Virginia Woolf,4.4,631,615,Brought to you by Penguin.,4,17,"[""Women's Studies"", 'Society & Culture']"
1387,Democracy on the Road,Ruchir Sharma,3.9,127,1005,"On the eve of a landmark general election, Ruchir Sharma offers an unrivaled portrait of how India and its democracy work, drawn from his two decades on the road chasing election campaigns across every major state, travelling the equivalent of a lap around the earth.",13,8,"['Political Campaigns & Elections', 'Democracy', 'Indian History']"
1389,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,4.3,275,569,What does it mean to be lonely? How do we live if we're not intimately engaged with another human being? How do we connect with other people?,8,13,['Biographies & Autobiographies']
1391,A Briefer History of Time,Stephen Hawking,4.7,629,615,"Students of the sciences and armchair physicists alike will all find something of worth in A Briefer History of Time. Well thought out and delivered with Hawking's straightforwardly scientific approach, it is an insightful and intelligent work.",4,20,"['Cosmology', 'Astronomy', 'Physics']"
1392,Beyond Mars and Venus: Relationship Skills for Today's Complex World,John Gray,4.6,143,668,"For more than 20 years, John Gray's Men Are from Mars, Women Are from Venus has helped couples deepen their intimacy and rejuvenate their love lives. Men and women, it revealed, communicate so differently, we might as well be from different planets. By learning to speak each other's language, millions of people dramatically improved, even saved their relationships.",9,44,"['Marriage', 'Human Sexuality Psychology', 'Love & Romance']"
1394,After,Anna Todd,4.2,352,497,"Ambiziosa, riservata e con un ragazzo perfetto che l'aspetta a casa, Tessa ama pensare di avere il controllo della sua vita. Al primo anno di college, il suo futuro sembra già segnato: una laurea, un buon lavoro, un matrimonio felice... Sembra, perché Tessa fa a malapena in tempo a mettere piede nel campus che subito s'imbatte in Hardin. E da allora niente è più come prima.",15,41,"['Contemporary Romance', 'Romance']"
1395,How Will You Measure Your Life?,Clayton M. Christensen,4.6,1175,10378,"In 2010, world-renowned innovation expert Clayton M. Christensen gave a powerful speech to the Harvard Business School's graduating class. Drawing upon his business research, he offered a series of guidelines for finding meaning and happiness in life. He used examples from his own experiences to explain how high achievers can all too often fall into traps that lead to unhappiness.",10,10,['Speech']
1396,Soar!: Build Your Vision from the Ground Up,T. D. Jakes,4.7,1040,500,You don't have to be an entrepreneur to think like one and take flight with your dreams.,2,30,['Entrepreneurship']
1397,What Do You Care What Other People Think?: Further Adventures of a Curious Character,Richard P. Feynman,4.6,432,609,"Among the book's many tales we meet Feynman's first wife, Arlene, who taught him of love's irreducible mystery as she lay dying in a hospital bed while he worked nearby on the atomic bomb at Los Alamos. We are also given a fascinating narrative of the investigation of the space shuttle Challenger's explosion in 1986, and we relive the moment when Feynman revealed the disaster's cause by an elegant experiment: dropping a ring of rubber into a glass of cold water and pulling it out, misshapen.",5,20,['Cold War']
1398,Dare to Lead,Brené Brown,4.7,3384,888,Brought to you by Penguin.,8,10,"['Leadership', 'Analysis & Strategy']"
1399,Millionaire Success Habits: The Gateway to Wealth & Prosperity,Dean Graziosi,4.6,527,703,Millionaire Success Habits: The Gateway to Wealth & Prosperity - No description available.,5,20,"['Personal Success', 'Personal Success in Business']"
1401,The Grand Design,Stephen Hawking,4.5,1429,615,"In the last 30 years of his life, Albert Einstein searched for a unified theory - a theory which could describe all the forces of nature in a single framework. But the time was not right for such a discovery in Einstein's day.",4,32,"['Earth Sciences Books', 'Textbooks & Study Guides']"
1404,The Cross of Christ,John R. W. Stott,4.8,287,680,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1405,A Very Punchable Face: A Memoir,Colin Jost,4.8,492,1005,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
1406,The 1% Rule: How to Fall in Love with the Process and Achieve Your Wildest Dreams,Tommy Baker,4.5,331,501,"In a highlight-reel, microwave world - we’re led to believe success is right around the corner. It’s not working.",4,22,"['Self-Esteem', 'Personal Success', 'Personal Development & Self-Help']"
1407,Lead the Field,Earl Nightingale,4.7,58,1003,"Profit from the ""Program of Presidents"" in Lead the Field.",4,3,"['Personal Success', 'Personal Development & Self-Help', 'Textbooks & Study Guides']"
